village.nom;fiche_enqueteur.date;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_prix
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-04;4500;;3000
Ankazomahity;2022-03-05;4500;;3000
Ankazomahity;2022-03-06;4500;;0
Ankazomahity;2022-03-06;4500;;3000
Ankazomahity;2022-03-06;4500;;3000
Ankazomahity;2022-03-06;4500;;3000
Ankazomahity;2022-03-06;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-08;4500;;3000
Ankazomahity;2022-03-11;4500;;3000
Ankazomahity;2022-03-11;4500;;3000
Ankazomahity;2022-03-11;4500;;3000
Ankazomahity;2022-03-11;4500;;3000
Ankazomahity;2022-03-11;4500;;3000
Ankazomahity;2022-03-12;4500;;0
Ankazomahity;2022-03-12;4500;;3000
Ankazomahity;2022-03-12;4500;;3000
Ankazomahity;2022-03-13;4500;;0
Ankazomahity;2022-03-13;4500;;3000
Ankazomahity;2022-03-13;4500;;3000
Ankazomahity;2022-03-13;4500;;3000
Ankazomahity;2022-03-13;4500;;3000
Ankazomahity;2022-03-14;4500;;0
Ankazomahity;2022-03-14;4500;;3000
Ankazomahity;2022-03-14;4500;;3000
Ankazomahity;2022-03-14;4500;;3000
Ankazomahity;2022-03-15;4500;;0
Ankazomahity;2022-03-15;4500;;3000
Ankazomahity;2022-03-15;4500;;3000
Ankazomahity;2022-03-15;4500;;3000
Ankazomahity;2022-03-15;4500;;3000
Ankazomahity;2022-03-16;4500;;3000
Ankazomahity;2022-03-16;4500;;3000
Ankazomahity;2022-03-16;4500;;3000
Ankazomahity;2022-03-16;4500;;3000
Ankazomahity;2022-03-17;4500;;0
Ankazomahity;2022-03-17;4500;;0
Ankazomahity;2022-03-17;4500;;3000
Ankazomahity;2022-03-17;4500;;3000
Ankazomahity;2022-03-17;4500;;3000
Ankazomahity;2022-03-17;4500;;3000
Ankazomahity;2022-03-18;4500;;0
Ankazomahity;2022-03-18;4500;;3000
Ankazomahity;2022-03-20;4500;;0
Ankazomahity;2022-03-20;4500;;3000
Ankazomahity;2022-03-20;4500;;3000
Ankazomahity;2022-03-20;4500;;3000
Ankazomahity;2022-03-25;4500;;3000
Ankazomahity;2022-03-25;4500;;3000
Ankazomahity;2022-03-30;4500;;2000
Ankazomahity;2022-03-30;4500;;2000
Ankazomahity;2022-03-30;4500;;2000
Ankazomahity;2022-03-30;4500;;2000
Ankazomahity;2022-04-03;2500;;2000
Ankazomahity;2022-04-04;2500;;2000
Ankazomahity;2022-04-04;2500;;2000
Ankazomahity;2022-04-04;2500;;2000
Ankazomahity;2022-04-04;2500;;2000
Ankazomahity;2022-04-05;2500;;2000
Ankazomahity;2022-04-05;2500;;2000
Ankazomahity;2022-04-05;2500;;2000
Ankazomahity;2022-04-06;2500;;2000
Ankazomahity;2022-04-06;2500;;2000
Ankazomahity;2022-04-07;2500;;2000
Ankazomahity;2022-04-07;2500;;2000
Ankazomahity;2022-04-08;2500;;2000
Ankazomahity;2022-04-09;2500;;2000
Ankazomahity;2022-04-09;2500;;2000
Ankazomahity;2022-04-13;2500;;2000
Ankazomahity;2022-04-13;2500;;2000
Ankazomahity;2022-04-13;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-14;2500;;2000
Ankazomahity;2022-04-15;2500;;2000
Ankazomahity;2022-04-15;2500;;2000
Ankazomahity;2022-04-15;2500;;2000
Ankazomahity;2022-04-16;2500;;2000
Ankazomahity;2022-04-16;2500;;2000
Ankazomahity;2022-04-16;2500;;2000
Ankazomahity;2022-04-17;2500;;2000
Ankazomahity;2022-04-17;2500;;2000
Ankazomahity;2022-04-17;2500;;2000
Ankazomahity;2022-04-17;2500;;2000
Ankazomahity;2022-04-19;2500;;2000
Ankazomahity;2022-04-19;2500;;2000
Ankazomahity;2022-04-19;2500;;2000
Ankazomahity;2022-04-19;2500;;2000
Ankazomahity;2022-04-19;2500;;2000
Ankazomahity;2022-04-19;2500;;2500
Ankazomahity;2022-04-20;2500;;2000
Ankazomahity;2022-04-20;2500;;2000
Ankazomahity;2022-04-20;2500;;2000
Ankazomahity;2022-04-20;2500;;2000
Ankazomahity;2022-04-20;2500;;2000
Ankazomahity;2022-04-22;2500;;2000
Ankazomahity;2022-04-22;2500;;2000
Ankazomahity;2022-04-22;2500;;2000
Ankazomahity;2022-04-22;2500;;2000
Ankazomahity;2022-04-23;2500;;2000
Ankazomahity;2022-04-23;2500;;2000
Ankazomahity;2022-04-23;2500;;2000
Ankazomahity;2022-04-23;2500;;2000
Ankazomahity;2022-04-23;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-24;2500;;2000
Ankazomahity;2022-04-25;2500;;2000
Ankazomahity;2022-04-25;2500;;2000
Ankazomahity;2022-04-26;2500;;2000
Ankazomahity;2022-04-26;2500;;2000
Ankazomahity;2022-04-27;2500;;2000
Ankazomahity;2022-04-27;2500;;2000
Ankazomahity;2022-04-28;2500;;2000
Ankazomahity;2022-04-29;2500;;2000
Ankazomahity;2022-04-29;2500;;2000
Ankazomahity;2022-05-01;0;;2000
Ankazomahity;2022-05-01;0;;2000
Ankazomahity;2022-05-01;0;;2000
Ankazomahity;2022-05-01;2000;;0
Ankazomahity;2022-05-02;0;;2000
Ankazomahity;2022-05-02;0;;2000
Ankazomahity;2022-05-02;0;;2000
Ankazomahity;2022-05-02;0;;2000
Ankazomahity;2022-05-03;0;;2000
Ankazomahity;2022-05-03;0;;2000
Ankazomahity;2022-05-05;0;;2000
Ankazomahity;2022-05-05;0;;2000
Ankazomahity;2022-05-05;0;;2000
Ankazomahity;2022-05-05;0;;2000
Ankazomahity;2022-05-06;0;;2000
Ankazomahity;2022-05-06;0;;2000
Ankazomahity;2022-05-07;0;;2000
Ankazomahity;2022-05-07;0;;2000
Ankazomahity;2022-05-09;0;;2000
Ankazomahity;2022-05-09;0;;2000
Ankazomahity;2022-05-09;0;;2000
Ankazomahity;2022-05-09;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-10;0;;2000
Ankazomahity;2022-05-12;0;;2000
Ankazomahity;2022-05-12;0;;2000
Ankazomahity;2022-05-13;0;;2000
Ankazomahity;2022-05-13;0;;2000
Ankazomahity;2022-05-13;0;;2000
Ankazomahity;2022-05-13;0;;2000
Ankazomahity;2022-05-14;0;;2000
Ankazomahity;2022-05-14;0;;2000
Ankazomahity;2022-05-14;0;;2000
Ankazomahity;2022-05-14;0;;2000
Ankazomahity;2022-05-15;0;;2000
Ankazomahity;2022-05-15;0;;2000
Ankazomahity;2022-05-15;0;;2000
Ankazomahity;2022-05-16;0;;2000
Ankazomahity;2022-05-16;0;;2000
Ankazomahity;2022-05-16;0;;2000
Ankazomahity;2022-05-16;0;;2000
Ankazomahity;2022-05-16;0;;2000
Ankazomahity;2022-05-17;0;;2000
Ankazomahity;2022-05-17;0;;2500
Ankazomahity;2022-05-19;0;;2500
Ankazomahity;2022-05-19;0;;2500
Ankazomahity;2022-05-19;0;;2500
Ankazomahity;2022-05-20;0;;2500
Ankazomahity;2022-05-20;0;;2500
Ankazomahity;2022-05-20;0;;2500
Ankazomahity;2022-05-22;0;;2500
Ankazomahity;2022-05-22;0;;2500
Ankazomahity;2022-05-23;0;;2500
Ankazomahity;2022-05-24;0;;2500
Ankazomahity;2022-05-24;0;;2500
Ankazomahity;2022-05-25;0;;2500
Ankotika;2021-06-07;4000;;0
Ankotika;2021-06-07;4000;;1500
Ankotika;2021-06-08;4000;;0
Ankotika;2021-06-08;4000;;0
Ankotika;2021-06-08;4000;;0
Ankotika;2021-06-08;4000;;2000
Ankotika;2021-06-09;4000;;2000
Ankotika;2021-06-11;4000;;0
Ankotika;2021-06-11;4000;;0
Ankotika;2021-06-15;4000;;2000
Ankotika;2021-06-15;4000;;2000
Ankotika;2021-06-15;4000;;2000
Ankotika;2021-06-15;4000;;2000
Ankotika;2021-06-15;4000;;4000
Ankotika;2021-06-16;4000;;2000
Ankotika;2021-06-16;4000;;2000
Ankotika;2021-06-16;4000;;2000
Ankotika;2021-06-16;4000;;2000
Ankotika;2021-06-18;4000;;2000
Ankotika;2021-07-20;4000;;0
Ankotika;2021-07-20;4000;;0
Ankotika;2021-07-20;4000;;0
Ankotika;2021-07-21;4000;;0
Ankotika;2021-07-21;4000;;0
Ankotika;2021-07-27;4000;;0
Ankotika;2021-07-27;4000;;0
Ankotika;2021-07-27;4000;;2000
Ankotika;2021-07-28;4000;;2000
Ankotika;2021-07-31;4000;;0
Ankotika;2021-08-02;4000;;0
Ankotika;2021-08-02;4000;;0
Ankotika;2021-08-02;4000;;0
Ankotika;2021-08-02;4000;;0
Ankotika;2021-08-03;4000;;0
Ankotika;2021-08-03;4000;;0
Ankotika;2021-08-04;4000;;0
Ankotika;2021-08-04;4000;;2000
Ankotika;2021-08-29;4000;;2000
Ankotika;2021-08-30;4000;;0
Ankotika;2021-08-30;4000;;0
Ankotika;2021-12-16;4000;;2000
Ankotika;2021-12-16;4000;;2000
Ankotika;2021-12-16;4000;;2000
Ankotika;2021-12-17;4000;;0
Ankotika;2021-12-17;4000;;2000
Ankotika;2021-12-17;4000;;2000
Ankotika;2021-12-17;4000;;2000
Ankotika;2021-12-20;4000;;2000
Ankotika;2021-12-20;4000;;2000
Ankotika;2021-12-21;4000;;2000
Ankotika;2021-12-21;4000;;2000
Ankotika;2021-12-21;4000;;2000
Ankotika;2021-12-21;4000;;2000
Ankotika;2021-12-21;4000;;2000
Ankotika;2021-12-27;4000;;2000
Ankotika;2021-12-27;4000;;2000
Ankotika;2021-12-27;4000;;2000
Ankotika;2021-12-27;4000;;2000
Ankotika;2021-12-29;4000;;2000
Ankotika;2022-01-05;4000;;2000
Ankotika;2022-01-05;4000;;2000
Ankotika;2022-01-06;4000;;2000
Ankotika;2022-01-06;4000;;2000
Ankotika;2022-01-06;4000;;2000
Ankotika;2022-01-11;4000;;0
Ankotika;2022-01-11;4000;;2000
Ankotika;2022-01-11;4000;;2000
Ankotika;2022-01-11;4000;;2000
Ankotika;2022-01-11;4000;;2000
Ankotika;2022-01-11;4000;;2000
Ankotika;2022-01-12;4000;;0
Ankotika;2022-01-12;4000;;2000
Ankotika;2022-01-12;4000;;2000
Ankotika;2022-01-12;4000;;2000
Ankotika;2022-01-17;4000;;0
Ankotika;2022-01-17;4000;;2000
Ankotika;2022-01-17;4000;;2000
Ankotika;2022-01-17;4000;;2000
Ankotika;2022-01-18;4000;;0
Ankotika;2022-01-18;4000;;0
Ankotika;2022-01-18;4000;;2000
Ankotika;2022-01-18;4000;;2000
Ankotika;2022-01-18;4000;;2000
Ankotika;2022-01-18;4000;;2000
Ankotika;2022-01-28;4000;;2000
Ankotika;2022-01-28;4000;;2000
Ankotika;2022-02-01;4000;;2000
Ankotika;2022-02-01;4000;;2000
Ankotika;2022-02-01;4000;;2000
Ankotika;2022-02-01;4000;;2000
Ankotika;2022-02-01;4000;;2000
Ankotika;2022-02-01;5000;;2000
Ankotika;2022-02-01;5000;;2000
Ankotika;2022-02-02;4000;;0
Ankotika;2022-02-02;4000;;2000
Ankotika;2022-02-02;5000;;2000
Ankotika;2022-02-02;5000;;2000
Ankotika;2022-02-07;4000;;0
Ankotika;2022-02-07;4000;;2000
Ankotika;2022-02-07;4000;;2000
Ankotika;2022-02-07;4500;;2000
Ankotika;2022-02-08;4000;;0
Ankotika;2022-02-08;4000;;0
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4000;;2000
Ankotika;2022-02-08;4500;;0
Ankotika;2022-02-08;4500;;2000
Ankotika;2022-02-08;4500;;2000
Ankotika;2022-02-08;5000;;2000
Ankotika;2022-02-09;4000;;0
Ankotika;2022-02-09;4000;;2000
Ankotika;2022-02-09;4000;;2000
Ankotika;2022-02-09;4000;;2000
Ankotika;2022-02-09;4000;;2000
Ankotika;2022-02-14;2500;;0
Ankotika;2022-02-14;2500;;0
Ankotika;2022-02-14;4000;;2000
Ankotika;2022-02-14;4500;;2000
Ankotika;2022-02-14;4500;;2000
Ankotika;2022-02-14;4500;;2000
Ankotika;2022-02-15;2500;;2000
Ankotika;2022-02-15;2500;;2000
Ankotika;2022-02-15;2500;;2000
Ankotika;2022-02-15;4000;;2000
Ankotika;2022-02-15;4500;;2000
Ankotika;2022-02-15;4500;;2000
Ankotika;2022-02-15;5000;;2000
Ankotika;2022-02-15;5000;;2000
Ankotika;2022-02-15;5000;;2000
Ankotika;2022-02-15;5000;;2000
Ankotika;2022-02-16;2500;;0
Ankotika;2022-02-16;2500;;0
Ankotika;2022-02-16;2500;;2000
Ankotika;2022-02-16;2500;;2000
Ankotika;2022-02-16;2500;;2000
Ankotika;2022-02-16;2500;;2000
Ankotika;2022-02-16;4500;;2000
Ankotika;2022-02-22;4000;;0
Ankotika;2022-02-22;4000;;0
Ankotika;2022-02-22;4000;;0
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-22;4000;;2000
Ankotika;2022-02-23;4000;;2000
Ankotika;2022-02-23;4000;;2000
Ankotika;2022-02-25;4000;;2000
Ankotika;2022-02-25;4000;;2000
Ankotika;2022-02-25;4000;;2000
Ankotika;2022-03-01;4000;;0
Ankotika;2022-03-01;4000;;0
Ankotika;2022-03-01;4000;;0
Ankotika;2022-03-01;4000;;2000
Ankotika;2022-03-01;4000;;2000
Ankotika;2022-03-01;4000;;2000
Ankotika;2022-03-02;4000;;0
Ankotika;2022-03-02;4000;;0
Ankotika;2022-03-02;4000;;2000
Ankotika;2022-03-02;4000;;2000
Ankotika;2022-03-02;4000;;2000
Ankotika;2022-03-02;4000;;2000
Ankotika;2022-03-08;4000;;0
Ankotika;2022-03-08;4000;;0
Ankotika;2022-03-08;4000;;2000
Ankotika;2022-03-08;4000;;2000
Ankotika;2022-03-08;4000;;2000
Ankotika;2022-03-08;4000;;2000
Ankotika;2022-03-08;4000;;2000
Ankotika;2022-03-09;4000;;2000
Ankotika;2022-03-09;4500;;2000
Ankotika;2022-03-09;4500;;2000
Ankotika;2022-03-10;4000;;2000
Ankotika;2022-03-10;4000;;2000
Ankotika;2022-03-10;4000;;2000
Ankotika;2022-03-10;4000;;2000
Ankotika;2022-03-14;4000;;2000
Ankotika;2022-03-14;4000;;2000
Ankotika;2022-03-14;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-16;4000;;2000
Ankotika;2022-03-22;4000;;2000
Ankotika;2022-03-22;4000;;2000
Ankotika;2022-03-22;4500;;2000
Ankotika;2022-03-22;4500;;2000
Ankotika;2022-03-23;4000;;2000
Ankotika;2022-03-28;4000;;0
Ankotika;2022-03-28;4000;;2000
Ankotika;2022-03-28;4000;;2000
Ankotika;2022-03-28;4000;;2000
Ankotika;2022-03-28;4000;;2000
Ankotika;2022-03-28;4000;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-29;2500;;2000
Ankotika;2022-03-30;2500;;2000
Ankotika;2022-03-30;2500;;2000
Ankotika;2022-03-30;2500;;2000
Ankotika;2022-03-30;2500;;2000
Ankotika;2022-03-30;4000;;2000
Ankotika;2022-03-30;4000;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-05;2500;;2000
Ankotika;2022-04-06;2500;;2000
Ankotika;2022-04-06;2500;;2000
Ankotika;2022-04-06;2500;;2000
Ankotika;2022-04-06;2500;;2000
Ankotika;2022-04-06;2500;;2000
Ankotika;2022-04-09;4000;;0
Ankotika;2022-04-09;4000;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-11;2500;;2000
Ankotika;2022-04-12;0;2500;0
Ankotika;2022-04-12;0;2500;0
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-12;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-13;2500;;2000
Ankotika;2022-04-14;0;2500;2000
Ankotika;2022-04-14;0;2500;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-19;2500;;2000
Ankotika;2022-04-20;2500;;2000
Ankotika;2022-04-20;2500;;2000
Ankotika;2022-04-20;2500;;2000
Ankotika;2022-04-20;2500;;2000
Ankotika;2022-04-21;2500;;2000
Ankotika;2022-04-21;2500;;2000
Ankotika;2022-04-21;2500;;2000
Ankotika;2022-04-21;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-25;2500;;2000
Ankotika;2022-04-26;2500;;2000
Ankotika;2022-04-26;2500;;2000
Ankotika;2022-04-26;2500;;2000
Ankotika;2022-04-26;2500;;2000
Ankotika;2022-04-26;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-04-27;2500;;2000
Ankotika;2022-05-05;0;2500;2000
Ankotika;2022-05-05;0;2500;2000
Ankotika;2022-05-06;0;2500;0
Ankotika;2022-05-06;0;2500;2000
Ankotika;2022-05-18;0;2500;0
Ankotika;2022-05-18;0;;0
Ankotika;2022-05-19;0;2500;0
Ankotika;2022-05-19;0;2500;2000
Ankotika;2022-12-21;4000;;2000
Ankotika;2022-12-21;4000;;2000
